<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MO.US,D,20050907,000000,8.828,8.8945,8.7623,8.8711,56483179,0
MO.US,D,20050908,000000,8.9614,9.0811,8.9288,9.0537,88979364,0
MO.US,D,20050909,000000,9.0925,9.1569,9.0537,9.0697,162588319,0
MO.US,D,20050912,000000,9.0754,9.1332,9.0053,9.065,70575726,0
MO.US,D,20050913,000000,9.0214,9.0214,8.8391,8.8665,88197425,0
MO.US,D,20050914,000000,8.8748,9.0489,8.8711,8.941,104026107,0
MO.US,D,20050915,000000,9.0811,9.1096,8.9838,9.0177,90133051,0
MO.US,D,20050916,000000,9.0697,9.1295,9.0489,9.1295,93798397,0
MO.US,D,20050919,000000,9.1143,9.2,9.0868,9.1096,65682186,0
MO.US,D,20050920,000000,9.1569,9.173,9.0177,9.0925,59594106,0
MO.US,D,20050921,000000,9.0394,9.0868,8.9288,8.941,49711695,0
MO.US,D,20050922,000000,8.9242,8.9949,8.8391,8.9717,37434591,0
MO.US,D,20050923,000000,8.9782,9.0451,8.9149,8.9717,42074964,0
MO.US,D,20050926,000000,9.0006,9.0811,8.9838,9.0537,58472478,0
MO.US,D,20050927,000000,9.0489,9.2078,9.0489,9.173,56049742,0
MO.US,D,20050928,000000,9.2,9.2425,9.1049,9.173,63144887,0
MO.US,D,20050929,000000,9.173,9.2329,9.0575,9.1933,54340045,0
MO.US,D,20050930,000000,9.0925,9.2107,9.0868,9.2,63687286,0
MO.US,D,20051003,000000,9.2,9.3109,9.2,9.2521,61086684,0
MO.US,D,20051004,000000,9.2984,9.2984,9.2425,9.2521,62769940,0
MO.US,D,20051005,000000,9.2377,9.2897,9.2377,9.2473,69488542,0
MO.US,D,20051006,000000,9.2473,9.2646,9.0006,9.0811,79672191,0
MO.US,D,20051007,000000,9.0811,9.0925,8.9093,9.0451,79492729,0
MO.US,D,20051010,000000,9.0697,9.0754,8.8317,8.9242,71026785,0
MO.US,D,20051011,000000,8.9782,9.0811,8.9679,8.9949,63954871,0
MO.US,D,20051012,000000,9.0868,9.0982,8.8391,8.8488,67196401,0
MO.US,D,20051013,000000,8.7987,8.8034,8.5622,8.6869,82957784,0
MO.US,D,20051014,000000,8.7192,8.8391,8.6725,8.817,57591189,0
MO.US,D,20051017,000000,8.7411,9.4406,8.7146,9.3561,207892779,0
MO.US,D,20051018,000000,9.2377,9.2897,9.0489,9.0489,96359735,0
MO.US,D,20051019,000000,9.1143,9.2165,9.0451,9.2165,78377507,0
MO.US,D,20051020,000000,9.2165,9.2646,9.065,9.0754,61039414,0
MO.US,D,20051021,000000,9.1238,9.173,8.9679,9.1096,58310646,0
MO.US,D,20051024,000000,9.1672,9.2473,9.1399,9.2425,50915058,0
MO.US,D,20051025,000000,9.2,9.2897,9.1238,9.2897,62529590,0
MO.US,D,20051026,000000,9.2897,9.3747,9.2521,9.3225,61843792,0
MO.US,D,20051027,000000,9.2646,9.3109,9.1617,9.1617,55798971,0
MO.US,D,20051028,000000,9.1866,9.3747,9.1826,9.3747,55191691,0
MO.US,D,20051031,000000,9.4082,9.4337,9.3561,9.3688,68866832,0
MO.US,D,20051101,000000,9.3865,9.3865,9.2589,9.2646,63900398,0
MO.US,D,20051102,000000,9.2917,9.3413,9.2473,9.3167,48078114,0
MO.US,D,20051103,000000,9.3462,9.3561,9.2473,9.2744,45901341,0
MO.US,D,20051104,000000,9.2646,9.2984,9.1826,9.2377,41006202,0
MO.US,D,20051107,000000,9.2744,9.3561,9.2377,9.2589,47905853,0
MO.US,D,20051108,000000,9.2107,9.3225,9.2107,9.3033,61633090,0
MO.US,D,20051109,000000,9.3109,9.3688,9.1569,9.2107,71477047,0
MO.US,D,20051110,000000,9.3109,9.3225,9.2165,9.3033,41963600,0
MO.US,D,20051111,000000,9.3225,9.3413,9.2714,9.3413,25832077,0
MO.US,D,20051114,000000,9.3167,9.3413,9.2897,9.3109,26110080,0
MO.US,D,20051115,000000,9.2897,9.3109,9.2473,9.2897,33531302,0
MO.US,D,20051116,000000,9.2521,9.2589,9.1399,9.2223,50312573,0
MO.US,D,20051117,000000,9.0811,9.119,8.9484,8.9614,124906154,0
MO.US,D,20051118,000000,9.0177,9.0177,8.7623,8.8945,112266126,0
MO.US,D,20051121,000000,8.8869,9.0053,8.8869,8.9334,74971737,0
MO.US,D,20051122,000000,8.941,9.1531,8.8748,9.1238,70393058,0
MO.US,D,20051123,000000,9.3167,9.3167,9.1332,9.1617,49488979,0
MO.US,D,20051125,000000,9.2223,9.2425,9.1332,9.173,35788995,0
MO.US,D,20051128,000000,9.1672,9.1933,9.0575,9.0982,52186507,0
MO.US,D,20051129,000000,9.1617,9.173,9.0575,9.1096,47951533,0
MO.US,D,20051130,000000,9.1474,9.173,9.0868,9.0868,53224024,0
MO.US,D,20051201,000000,9.1295,9.1672,9.1143,9.1143,64588596,0
MO.US,D,20051202,000000,9.1143,9.1788,9.0868,9.1531,33596192,0
MO.US,D,20051205,000000,9.173,9.173,9.065,9.0811,34391758,0
MO.US,D,20051206,000000,9.0982,9.1238,9.0271,9.0394,55679605,0
MO.US,D,20051207,000000,9.011,9.0328,8.954,8.9838,64166377,0
MO.US,D,20051208,000000,8.9838,9.0868,8.954,8.9717,41832208,0
MO.US,D,20051209,000000,8.9717,9.0451,8.9196,9.011,35664814,0
MO.US,D,20051212,000000,9.0177,9.1049,8.9903,9.0489,35963650,0
MO.US,D,20051213,000000,9.2744,9.2917,9.1143,9.2377,144925754,0
MO.US,D,20051214,000000,9.3109,9.3225,9.2078,9.2078,133682154,0
MO.US,D,20051215,000000,9.2521,9.822,9.2078,9.562,340409238,0
MO.US,D,20051216,000000,9.611,9.685,9.562,9.651,159243431,0
MO.US,D,20051219,000000,9.557,9.672,9.551,9.562,98858573,0
MO.US,D,20051220,000000,9.605,9.626,9.4445,9.4927,103340298,0
MO.US,D,20051221,000000,9.54,9.566,9.4612,9.522,93793579,0
MO.US,D,20051222,000000,9.562,9.605,9.522,9.594,78363885,0
MO.US,D,20051223,000000,9.513,9.522,9.4445,9.4927,65793555,0
MO.US,D,20051227,000000,9.473,9.533,9.3688,9.3777,47986781,0
MO.US,D,20051228,000000,9.3826,9.4229,9.3747,9.3777,39574517,0
MO.US,D,20051229,000000,9.4032,9.4858,9.3629,9.3747,47556555,0
MO.US,D,20051230,000000,9.3747,9.4082,9.3225,9.3225,37537138,0
MO.US,D,20060103,000000,9.3777,9.4141,9.2744,9.3561,70594953,0
MO.US,D,20060104,000000,9.3934,9.4583,9.3747,9.4288,51530356,0
MO.US,D,20060105,000000,9.4612,9.508,9.3934,9.4032,54374500,0
MO.US,D,20060106,000000,9.4986,9.4986,9.4032,9.4789,45101772,0
MO.US,D,20060109,000000,9.4858,9.54,9.4662,9.508,59147857,0
MO.US,D,20060110,000000,9.522,9.533,9.4445,9.4986,46497413,0
MO.US,D,20060111,000000,9.522,9.583,9.473,9.543,45785978,0
MO.US,D,20060112,000000,9.566,9.66,9.505,9.529,59483556,0
MO.US,D,20060113,000000,9.588,9.616,9.508,9.54,37323235,0
MO.US,D,20060117,000000,9.4986,9.515,9.4406,9.4583,34617692,0
MO.US,D,20060118,000000,9.4612,9.515,9.4288,9.4662,41301032,0
MO.US,D,20060119,000000,9.4789,9.505,9.3934,9.4337,60319167,0
MO.US,D,20060120,000000,9.4337,9.4337,9.3413,9.3413,94932841,0
MO.US,D,20060123,000000,9.3413,9.3826,9.2917,9.3081,50120294,0
MO.US,D,20060124,000000,9.3274,9.3332,9.2223,9.2646,42197543,0
MO.US,D,20060125,000000,9.2744,9.3167,9.2078,9.2165,68233107,0
MO.US,D,20060126,000000,9.2984,9.3167,9.1826,9.2078,44699589,0
MO.US,D,20060127,000000,9.2165,9.3747,9.1332,9.3274,44943947,0
MO.US,D,20060130,000000,9.3167,9.3777,9.2165,9.2299,56500000,0
MO.US,D,20060131,000000,9.0489,9.173,9.0271,9.0271,102503099,0
MO.US,D,20060201,000000,9.0537,9.173,9.0537,9.173,71476237,0
MO.US,D,20060202,000000,9.1399,9.1672,8.9717,8.9903,77055581,0
MO.US,D,20060203,000000,8.9334,9.0489,8.8034,8.954,64157569,0
MO.US,D,20060206,000000,8.9149,8.9838,8.8563,8.9093,46809068,0
MO.US,D,20060207,000000,8.9093,8.9596,8.8665,8.8711,46665658,0
MO.US,D,20060208,000000,8.8391,8.9782,8.8391,8.9028,67368643,0
MO.US,D,20060209,000000,8.9484,9.0451,8.9242,8.9614,61288576,0
MO.US,D,20060210,000000,8.9782,9.0537,8.8945,8.9679,38604297,0
MO.US,D,20060213,000000,8.9334,8.9679,8.8711,8.8945,33915866,0
MO.US,D,20060214,000000,8.954,9.0697,8.8711,9.0575,53575733,0
MO.US,D,20060215,000000,9.0754,9.1672,9.0394,9.1617,60687708,0
MO.US,D,20060216,000000,9.1399,9.1933,9.0868,9.1332,61319029,0
MO.US,D,20060217,000000,9.1531,9.2107,9.0811,9.0982,49171714,0
MO.US,D,20060221,000000,9.0697,9.1049,9.0053,9.011,47617446,0
MO.US,D,20060222,000000,9.0697,9.173,9.0489,9.1569,46293913,0
MO.US,D,20060223,000000,9.1617,9.2107,9.1049,9.1569,40488647,0
MO.US,D,20060224,000000,9.2078,9.2078,9.0451,9.0451,52579076,0
MO.US,D,20060227,000000,9.0868,9.1049,9.0489,9.0754,45143439,0
MO.US,D,20060228,000000,9.0214,9.0271,8.9596,8.9717,73729924,0
MO.US,D,20060301,000000,9.011,9.0489,8.9717,8.9949,52218555,0
MO.US,D,20060302,000000,8.9717,8.9838,8.8972,8.9334,54432988,0
MO.US,D,20060303,000000,8.8972,9.0394,8.8945,9.0006,41815384,0
MO.US,D,20060306,000000,9.0006,9.0328,8.9149,8.9242,46983715,0
MO.US,D,20060307,000000,8.9242,9.0177,8.9196,8.9614,49315122,0
MO.US,D,20060308,000000,8.9614,9.0868,8.9242,9.0697,50363046,0
MO.US,D,20060309,000000,9.0754,9.2,9.0214,9.0925,97129655,0
MO.US,D,20060310,000000,9.119,9.2223,9.0868,9.2223,60726165,0
MO.US,D,20060313,000000,9.173,9.1788,9.1238,9.173,44928726,0
MO.US,D,20060314,000000,9.1672,9.3033,9.1617,9.2917,57122504,0
MO.US,D,20060315,000000,9.2917,9.2917,9.1866,9.2223,41264975,0
MO.US,D,20060316,000000,9.2589,9.2744,9.1826,9.2223,58786534,0
MO.US,D,20060317,000000,9.2165,9.2377,9.173,9.1788,76973049,0
MO.US,D,20060320,000000,9.173,9.2,9.0868,9.1826,62010430,0
MO.US,D,20060321,000000,9.1569,9.2223,9.0177,9.0451,58795345,0
MO.US,D,20060322,000000,9.065,9.1826,9.0451,9.1474,49096403,0
MO.US,D,20060323,000000,9.1866,9.1866,9.0697,9.0811,42727112,0
MO.US,D,20060324,000000,9.0177,9.173,9.0177,9.1049,32916003,0
MO.US,D,20060327,000000,9.0982,9.1399,8.9838,8.9949,46652837,0
MO.US,D,20060328,000000,8.9838,9.0811,8.9782,8.9903,77355215,0
MO.US,D,20060329,000000,8.9903,9.1049,8.9717,9.0868,42313710,0
MO.US,D,20060330,000000,9.0394,9.1049,8.9196,8.954,73784401,0
MO.US,D,20060331,000000,8.954,8.9717,8.8317,8.845,73946243,0
MO.US,D,20060403,000000,8.8609,8.9679,8.8609,8.9028,68209074,0
MO.US,D,20060404,000000,8.8972,8.954,8.845,8.8711,80970084,0
MO.US,D,20060405,000000,8.8609,8.9093,8.8317,8.8869,51168223,0
MO.US,D,20060406,000000,8.8748,8.8945,8.786,8.797,54733426,0
MO.US,D,20060407,000000,8.8034,8.845,8.6779,8.7036,60065201,0
MO.US,D,20060410,000000,8.7513,8.7814,8.7146,8.7411,37440202,0
MO.US,D,20060411,000000,8.7458,8.7814,8.5747,8.6482,59464321,0
MO.US,D,20060412,000000,8.6869,8.7329,8.6213,8.6869,47027784,0
MO.US,D,20060413,000000,8.6869,8.7274,8.5676,8.6133,66832666,0
MO.US,D,20060417,000000,8.6133,8.6438,8.5325,8.5747,42409852,0
MO.US,D,20060418,000000,8.5747,8.6779,8.5397,8.6671,74265107,0
MO.US,D,20060419,000000,8.6375,8.6779,8.5747,8.6088,56867737,0
MO.US,D,20060420,000000,8.6779,8.7814,8.6331,8.7411,64227259,0
